Model,Dataset,Macro F1,Macro Precision,Macro Recall
pysentimiento,sent_eval,0.8832743523433602,0.8876039501039501,0.8796813464907683
pysentimiento,sentiment140,0.8582682779625808,0.8617301592770783,0.8570352881412507
pysentimiento,mteb,0.7565373779659493,0.7636785678640526,0.7540229885057471
pysentimiento,amazon,0.6315459365011481,0.6313024198248169,0.633
pysentimiento,sst2,0.8794716022404908,0.87990882019659,0.8793150627262777
pysentimiento,financial_phrasebank,0.6823520476364079,0.7503890966274867,0.6451941768565247
