Model,Dataset,Macro F1,Macro Precision,Macro Recall
textblob,sent_eval,0.6782051282051281,0.6784550587104718,0.6779660382444108
textblob,sentiment140,0.6331273935311653,0.6763178559265356,0.6466423061960191
textblob,mteb,0.4744556658744766,0.5408086475349292,0.48965517241379314
textblob,amazon,0.45030527641699697,0.5150203682635545,0.47266666666666673
textblob,sst2,0.6586042375861816,0.6650015449582861,0.6601730234907806
textblob,financial_phrasebank,0.4485121692140461,0.4669185013236154,0.4397141202911561
